id,question,category,answer,label,score_clarity,score_structure,score_impact,missing
35,Describe a time you influenced a group to move in a better direction.,leadership,"In a student project, the team had strong ideas but no one was keeping decisions organized. I volunteered to run short syncs, summarize blockers, and keep the team focused on the highest-risk work first. I also kept the team updated so we could move forward without too much confusion. We reduced confusion, finished the work more smoothly, and I learned that leadership is often about clarity and follow-through.",average,7,5,6,metrics
36,Describe a time you influenced a group to move in a better direction.,leadership,"In a student project, the team had strong ideas but no one was keeping decisions organized. I first clarified the success criteria and the actual risk to the timeline. I volunteered to run short syncs, summarize blockers, and keep the team focused on the highest-risk work first. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We reduced confusion, finished the work more smoothly, and I learned that leadership is often about clarity and follow-through.",strong,7,9,8,
37,Tell me about a time you stepped up and led an effort.,leadership,"kind of, During a campus tech event, several volunteers were working hard but priorities were scattered. I tried to help and talk to people, but I was not very structured about it. I made sure quieter teammates were heard, then turned the conversation into concrete next actions The group became more aligned, and our output quality improved because ownership was visible.",weak,2,4,3,"metrics, ownership, specific context"
38,Tell me about a time you stepped up and led an effort.,leadership,"During a campus tech event, several volunteers were working hard but priorities were scattered. I made sure quieter teammates were heard, then turned the conversation into concrete next actions. I also kept the team updated so we could move forward without too much confusion. The group became more aligned, and our output quality improved because ownership was visible.",average,7,5,5,metrics
39,Tell me about a time you stepped up and led an effort.,leadership,"During a campus tech event, several volunteers were working hard but priorities were scattered. I first clarified the success criteria and the actual risk to the timeline. I made sure quieter teammates were heard, then turned the conversation into concrete next actions. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The group became more aligned, and our output quality improved because ownership was visible.",strong,7,9,9,
40,Describe a time leadership was needed even though you were not the official owner.,leadership,"honestly, At an internship, the team needed someone to connect product feedback with engineering tasks. I tried to help and talk to people, but I was not very structured about it. I kept communication direct and calm so people trusted the process instead of feeling managed The project recovered from drift and my manager mentioned that the coordination improved team confidence.",weak,2,4,1,"metrics, ownership, specific context"
41,Describe a time leadership was needed even though you were not the official owner.,leadership,"At an internship, the team needed someone to connect product feedback with engineering tasks. I kept communication direct and calm so people trusted the process instead of feeling managed. I also kept the team updated so we could move forward without too much confusion. The project recovered from drift and my manager mentioned that the coordination improved team confidence.",average,7,5,4,reflection
42,Describe a time leadership was needed even though you were not the official owner.,leadership,"At an internship, the team needed someone to connect product feedback with engineering tasks. I first clarified the success criteria and the actual risk to the timeline. I kept communication direct and calm so people trusted the process instead of feeling managed. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The project recovered from drift and my manager mentioned that the coordination improved team confidence.",strong,8,8,10,
43,Tell me about a time you organized others around a goal.,leadership,"to be honest, On a capstone team, we were close to deadline and needed clearer execution ownership. I tried to help and talk to people, but I was not very structured about it. I documented decisions and followed through on the details so the momentum did not fade after meetings We hit the target with less last-minute churn than expected.",weak,3,4,3,"clear structure, result"
44,Tell me about a time you organized others around a goal.,leadership,"On a capstone team, we were close to deadline and needed clearer execution ownership. I documented decisions and followed through on the details so the momentum did not fade after meetings. I also kept the team updated so we could move forward without too much confusion. We hit the target with less last-minute churn than expected.",average,5,6,6,reflection
45,Tell me about a time you organized others around a goal.,leadership,"On a capstone team, we were close to deadline and needed clearer execution ownership. I first clarified the success criteria and the actual risk to the timeline. I documented decisions and followed through on the details so the momentum did not fade after meetings. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We hit the target with less last-minute churn than expected.",strong,8,9,10,
46,Describe a time you created alignment across multiple people.,leadership,"kind of, During an internship, a feature had many moving parts but no clear day-to-day coordinator. I tried to help and talk to people, but I was not very structured about it. I created a visible plan with milestones, owners, and check-in points so everyone could see where we stood The team delivered on time and people kept using the structure I introduced even after the project milestone.",weak,3,4,2,"metrics, ownership, specific context"
49,Tell me about a time you took initiative to lead a delivery effort.,leadership,"honestly, In a student project, the team had strong ideas but no one was keeping decisions organized. I tried to help and talk to people, but I was not very structured about it. I volunteered to run short syncs, summarize blockers, and keep the team focused on the highest-risk work first We reduced confusion, finished the work more smoothly, and I learned that leadership is often about clarity and follow-through.",weak,4,4,1,"metrics, ownership, specific context"
52,Describe a time you earned followership instead of using title or role.,leadership,"to be honest, During a campus tech event, several volunteers were working hard but priorities were scattered. I tried to help and talk to people, but I was not very structured about it. I made sure quieter teammates were heard, then turned the conversation into concrete next actions The group became more aligned, and our output quality improved because ownership was visible.",weak,4,4,3,"clear structure, result"
55,Tell me about a time you set direction for a group project.,leadership,"basically, At an internship, the team needed someone to connect product feedback with engineering tasks. I tried to help and talk to people, but I was not very structured about it. I kept communication direct and calm so people trusted the process instead of feeling managed The project recovered from drift and my manager mentioned that the coordination improved team confidence.",weak,3,3,3,"metrics, ownership, specific context"
61,Tell me about a time you collaborated effectively with others.,teamwork,"honestly, During my internship, engineering, design, and QA all depended on each other to ship one workflow. I tried to help and talk to people, but I was not very structured about it. I made communication simpler by keeping one shared tracker, one update rhythm, and one source of truth We delivered a stronger result than any one person could have done alone, and the teamwork felt much more efficient by the end.",weak,2,4,3,"metrics, ownership, specific context"
62,Tell me about a time you collaborated effectively with others.,teamwork,"During my internship, engineering, design, and QA all depended on each other to ship one workflow. I made communication simpler by keeping one shared tracker, one update rhythm, and one source of truth. I also kept the team updated so we could move forward without too much confusion. We delivered a stronger result than any one person could have done alone, and the teamwork felt much more efficient by the end.",average,5,4,4,strong impact
63,Tell me about a time you collaborated effectively with others.,teamwork,"During my internship, engineering, design, and QA all depended on each other to ship one workflow. I first clarified the success criteria and the actual risk to the timeline. I made communication simpler by keeping one shared tracker, one update rhythm, and one source of truth. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We delivered a stronger result than any one person could have done alone, and the teamwork felt much more efficient by the end.",strong,10,10,8,deeper reflection
64,Describe a project where teamwork was critical to success.,teamwork,"honestly, In a group project, different people owned research, coding, and presentation tasks under a tight timeline. I tried to help and talk to people, but I was not very structured about it. I checked assumptions early so we did not discover mismatched expectations at the end The project landed successfully, and our handoffs became much smoother after we aligned the workflow.",weak,2,3,1,"clear structure, result"
65,Describe a project where teamwork was critical to success.,teamwork,"In a group project, different people owned research, coding, and presentation tasks under a tight timeline. I checked assumptions early so we did not discover mismatched expectations at the end. I also kept the team updated so we could move forward without too much confusion. The project landed successfully, and our handoffs became much smoother after we aligned the workflow.",average,6,5,5,strong impact
66,Describe a project where teamwork was critical to success.,teamwork,"In a group project, different people owned research, coding, and presentation tasks under a tight timeline. I first clarified the success criteria and the actual risk to the timeline. I checked assumptions early so we did not discover mismatched expectations at the end. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The project landed successfully, and our handoffs became much smoother after we aligned the workflow.",strong,10,8,8,deeper reflection
67,Tell me about a time cross-functional collaboration made the difference.,teamwork,"to be honest, On a hackathon team, we had mixed experience levels and limited time to get aligned. I tried to help and talk to people, but I was not very structured about it. I translated between technical and non-technical teammates when needed so decisions stayed clear We avoided duplicate work, hit the milestone, and built more trust across the group.",weak,2,4,3,"measurable impact, specific actions"
68,Tell me about a time cross-functional collaboration made the difference.,teamwork,"On a hackathon team, we had mixed experience levels and limited time to get aligned. I translated between technical and non-technical teammates when needed so decisions stayed clear. I also kept the team updated so we could move forward without too much confusion. We avoided duplicate work, hit the milestone, and built more trust across the group.",average,5,6,5,metrics
69,Tell me about a time cross-functional collaboration made the difference.,teamwork,"On a hackathon team, we had mixed experience levels and limited time to get aligned. I first clarified the success criteria and the actual risk to the timeline. I translated between technical and non-technical teammates when needed so decisions stayed clear. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We avoided duplicate work, hit the milestone, and built more trust across the group.",strong,7,10,8,
70,Describe a time you had to coordinate with people who worked differently from you.,teamwork,"honestly, During a campus organization project, multiple people were contributing asynchronously. I tried to help and talk to people, but I was not very structured about it. I focused on helping the team unblock quickly instead of only finishing my own part The collaboration improved both speed and quality, especially because people knew where to go for updates.",weak,2,2,3,"metrics, ownership, specific context"
71,Describe a time you had to coordinate with people who worked differently from you.,teamwork,"During a campus organization project, multiple people were contributing asynchronously. I focused on helping the team unblock quickly instead of only finishing my own part. I also kept the team updated so we could move forward without too much confusion. The collaboration improved both speed and quality, especially because people knew where to go for updates.",average,7,4,5,metrics
72,Describe a time you had to coordinate with people who worked differently from you.,teamwork,"During a campus organization project, multiple people were contributing asynchronously. I first clarified the success criteria and the actual risk to the timeline. I focused on helping the team unblock quickly instead of only finishing my own part. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The collaboration improved both speed and quality, especially because people knew where to go for updates.",strong,8,7,7,deeper reflection
73,Tell me about a time your team depended on strong collaboration.,teamwork,"kind of, At an internship, one deliverable required tight handoffs between backend, frontend, and product. I tried to help and talk to people, but I was not very structured about it. I shared progress and risks openly, which made it easier for others to adjust their work in time We finished with less confusion and much better visibility than at the start.",weak,3,2,3,"measurable impact, specific actions"
74,Tell me about a time your team depended on strong collaboration.,teamwork,"At an internship, one deliverable required tight handoffs between backend, frontend, and product. I shared progress and risks openly, which made it easier for others to adjust their work in time. I also kept the team updated so we could move forward without too much confusion. We finished with less confusion and much better visibility than at the start.",average,6,4,5,strong impact
75,Tell me about a time your team depended on strong collaboration.,teamwork,"At an internship, one deliverable required tight handoffs between backend, frontend, and product. I first clarified the success criteria and the actual risk to the timeline. I shared progress and risks openly, which made it easier for others to adjust their work in time. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We finished with less confusion and much better visibility than at the start.",strong,8,9,10,deeper reflection
79,Tell me about a time teamwork helped solve a difficult problem.,teamwork,"to be honest, In a group project, different people owned research, coding, and presentation tasks under a tight timeline. I tried to help and talk to people, but I was not very structured about it. I checked assumptions early so we did not discover mismatched expectations at the end The project landed successfully, and our handoffs became much smoother after we aligned the workflow.",weak,3,3,1,"clear structure, result"
82,Describe a time you had to collaborate across roles or backgrounds.,teamwork,"kind of, On a hackathon team, we had mixed experience levels and limited time to get aligned. I tried to help and talk to people, but I was not very structured about it. I translated between technical and non-technical teammates when needed so decisions stayed clear We avoided duplicate work, hit the milestone, and built more trust across the group.",weak,2,2,3,"measurable impact, specific actions"
85,Tell me about a time you improved the way a team worked together.,teamwork,"kind of, During a campus organization project, multiple people were contributing asynchronously. I tried to help and talk to people, but I was not very structured about it. I focused on helping the team unblock quickly instead of only finishing my own part The collaboration improved both speed and quality, especially because people knew where to go for updates.",weak,4,3,2,"metrics, ownership, specific context"
91,Tell me about a time you failed and what you learned.,failure,"honestly, During an internship, I underestimated how much validation a feature needed before rollout. I tried to help and talk to people, but I was not very structured about it. Once I saw the miss, I owned it directly, explained the impact clearly, and shifted into recovery mode instead of defending the mistake The short-term miss was real, but later work improved because I handled planning and communication much more carefully.",weak,3,4,3,"metrics, ownership, specific context"
92,Tell me about a time you failed and what you learned.,failure,"During an internship, I underestimated how much validation a feature needed before rollout. Once I saw the miss, I owned it directly, explained the impact clearly, and shifted into recovery mode instead of defending the mistake. I also kept the team updated so we could move forward without too much confusion. The short-term miss was real, but later work improved because I handled planning and communication much more carefully.",average,6,4,4,strong impact
93,Tell me about a time you failed and what you learned.,failure,"During an internship, I underestimated how much validation a feature needed before rollout. I first clarified the success criteria and the actual risk to the timeline. Once I saw the miss, I owned it directly, explained the impact clearly, and shifted into recovery mode instead of defending the mistake. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The short-term miss was real, but later work improved because I handled planning and communication much more carefully.",strong,9,7,9,
94,Describe a mistake you would handle differently now.,failure,"to be honest, In a student project, I assumed a task would be quick and did not surface risk early enough. I tried to help and talk to people, but I was not very structured about it. I documented what I got wrong, asked for feedback, and changed how I planned similar work later I earned trust back by being accountable and applying the lesson in the next project.",weak,4,2,2,"measurable impact, specific actions"
95,Describe a mistake you would handle differently now.,failure,"In a student project, I assumed a task would be quick and did not surface risk early enough. I documented what I got wrong, asked for feedback, and changed how I planned similar work later. I also kept the team updated so we could move forward without too much confusion. I earned trust back by being accountable and applying the lesson in the next project.",average,6,6,6,metrics
96,Describe a mistake you would handle differently now.,failure,"In a student project, I assumed a task would be quick and did not surface risk early enough. I first clarified the success criteria and the actual risk to the timeline. I documented what I got wrong, asked for feedback, and changed how I planned similar work later. I documented the decision path, followed up on ownership, and kept stakeholders aligned. I earned trust back by being accountable and applying the lesson in the next project.",strong,8,8,8,deeper reflection
97,Tell me about a setback that changed how you work.,failure,"honestly, During a hackathon follow-up, I focused too much on implementation and not enough on user testing. I tried to help and talk to people, but I was not very structured about it. I started breaking work into smaller checkpoints so I could spot risk earlier instead of near the deadline The experience made me much better at risk management, and later estimates were noticeably more reliable.",weak,2,4,2,"clear structure, result"
98,Tell me about a setback that changed how you work.,failure,"During a hackathon follow-up, I focused too much on implementation and not enough on user testing. I started breaking work into smaller checkpoints so I could spot risk earlier instead of near the deadline. I also kept the team updated so we could move forward without too much confusion. The experience made me much better at risk management, and later estimates were noticeably more reliable.",average,7,6,4,strong impact
99,Tell me about a setback that changed how you work.,failure,"During a hackathon follow-up, I focused too much on implementation and not enough on user testing. I first clarified the success criteria and the actual risk to the timeline. I started breaking work into smaller checkpoints so I could spot risk earlier instead of near the deadline. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The experience made me much better at risk management, and later estimates were noticeably more reliable.",strong,8,7,10,
100,Describe a time your plan did not work.,failure,"basically, At school, I took on too much work personally instead of distributing it earlier. I tried to help and talk to people, but I was not very structured about it. I made a habit of validating assumptions earlier and communicating uncertainty with more precision I did not hide the mistake, and the learning from it prevented a similar issue later.",weak,2,2,2,"clear structure, result"
101,Describe a time your plan did not work.,failure,"At school, I took on too much work personally instead of distributing it earlier. I made a habit of validating assumptions earlier and communicating uncertainty with more precision. I also kept the team updated so we could move forward without too much confusion. I did not hide the mistake, and the learning from it prevented a similar issue later.",average,6,4,4,metrics
102,Describe a time your plan did not work.,failure,"At school, I took on too much work personally instead of distributing it earlier. I first clarified the success criteria and the actual risk to the timeline. I made a habit of validating assumptions earlier and communicating uncertainty with more precision. I documented the decision path, followed up on ownership, and kept stakeholders aligned. I did not hide the mistake, and the learning from it prevented a similar issue later.",strong,8,10,9,deeper reflection
103,Tell me about a time you missed the mark.,failure,"honestly, In an internship sprint, I gave an optimistic estimate without enough technical discovery first. I tried to help and talk to people, but I was not very structured about it. I turned the mistake into a concrete process change rather than treating it as a one-off problem It was uncomfortable, but it permanently improved how I scope and communicate work.",weak,3,3,3,"measurable impact, specific actions"
104,Tell me about a time you missed the mark.,failure,"In an internship sprint, I gave an optimistic estimate without enough technical discovery first. I turned the mistake into a concrete process change rather than treating it as a one-off problem. I also kept the team updated so we could move forward without too much confusion. It was uncomfortable, but it permanently improved how I scope and communicate work.",average,6,6,6,strong impact
105,Tell me about a time you missed the mark.,failure,"In an internship sprint, I gave an optimistic estimate without enough technical discovery first. I first clarified the success criteria and the actual risk to the timeline. I turned the mistake into a concrete process change rather than treating it as a one-off problem. I documented the decision path, followed up on ownership, and kept stakeholders aligned. It was uncomfortable, but it permanently improved how I scope and communicate work.",strong,7,7,9,
106,Describe a failure that taught you something important.,failure,"kind of, During an internship, I underestimated how much validation a feature needed before rollout. I tried to help and talk to people, but I was not very structured about it. Once I saw the miss, I owned it directly, explained the impact clearly, and shifted into recovery mode instead of defending the mistake The short-term miss was real, but later work improved because I handled planning and communication much more carefully.",weak,2,2,3,"clear structure, result"
109,Tell me about a time your decision created a problem.,failure,"honestly, In a student project, I assumed a task would be quick and did not surface risk early enough. I tried to help and talk to people, but I was not very structured about it. I documented what I got wrong, asked for feedback, and changed how I planned similar work later I earned trust back by being accountable and applying the lesson in the next project.",weak,4,3,1,"measurable impact, specific actions"
112,Describe a time you underestimated something important.,failure,"kind of, During a hackathon follow-up, I focused too much on implementation and not enough on user testing. I tried to help and talk to people, but I was not very structured about it. I started breaking work into smaller checkpoints so I could spot risk earlier instead of near the deadline The experience made me much better at risk management, and later estimates were noticeably more reliable.",weak,4,3,3,"metrics, ownership, specific context"
115,Tell me about a time you learned from an avoidable miss.,failure,"kind of, At school, I took on too much work personally instead of distributing it earlier. I tried to help and talk to people, but I was not very structured about it. I made a habit of validating assumptions earlier and communicating uncertainty with more precision I did not hide the mistake, and the learning from it prevented a similar issue later.",weak,4,2,1,"clear structure, result"
121,Tell me about a time you took initiative.,initiative,"to be honest, During my internship, I noticed repeated friction in the review process even though nobody had formally owned it. I tried to help and talk to people, but I was not very structured about it. I put together a lightweight fix, tested it quickly, and then shared it in a way that made adoption easy The team saved time, the process felt smoother, and the change stuck because it solved a real pain point.",weak,4,3,3,"metrics, ownership, specific context"
122,Tell me about a time you took initiative.,initiative,"During my internship, I noticed repeated friction in the review process even though nobody had formally owned it. I put together a lightweight fix, tested it quickly, and then shared it in a way that made adoption easy. I also kept the team updated so we could move forward without too much confusion. The team saved time, the process felt smoother, and the change stuck because it solved a real pain point.",average,7,4,5,reflection
123,Tell me about a time you took initiative.,initiative,"During my internship, I noticed repeated friction in the review process even though nobody had formally owned it. I first clarified the success criteria and the actual risk to the timeline. I put together a lightweight fix, tested it quickly, and then shared it in a way that made adoption easy. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The team saved time, the process felt smoother, and the change stuck because it solved a real pain point.",strong,9,7,8,
124,Describe a time you acted without being asked.,initiative,"kind of, In a student project, I saw that the team kept losing time because the work tracker was outdated. I tried to help and talk to people, but I was not very structured about it. I did not wait for permission to do the discovery work, but I made sure to keep the actual owners informed People adopted the improvement quickly and it reduced repeated confusion across the group.",weak,2,2,1,"metrics, ownership, specific context"
125,Describe a time you acted without being asked.,initiative,"In a student project, I saw that the team kept losing time because the work tracker was outdated. I did not wait for permission to do the discovery work, but I made sure to keep the actual owners informed. I also kept the team updated so we could move forward without too much confusion. People adopted the improvement quickly and it reduced repeated confusion across the group.",average,5,4,5,reflection
126,Describe a time you acted without being asked.,initiative,"In a student project, I saw that the team kept losing time because the work tracker was outdated. I first clarified the success criteria and the actual risk to the timeline. I did not wait for permission to do the discovery work, but I made sure to keep the actual owners informed. I documented the decision path, followed up on ownership, and kept stakeholders aligned. People adopted the improvement quickly and it reduced repeated confusion across the group.",strong,7,10,10,
127,Tell me about a time you noticed a gap and stepped in.,initiative,"to be honest, During a campus event build, I noticed the onboarding material for new contributors was missing. I tried to help and talk to people, but I was not very structured about it. I started small, collected feedback, and improved the idea before asking the full team to change habits The initiative improved delivery speed and made my work more trusted because it helped the whole team.",weak,4,4,2,"clear structure, result"
128,Tell me about a time you noticed a gap and stepped in.,initiative,"During a campus event build, I noticed the onboarding material for new contributors was missing. I started small, collected feedback, and improved the idea before asking the full team to change habits. I also kept the team updated so we could move forward without too much confusion. The initiative improved delivery speed and made my work more trusted because it helped the whole team.",average,6,4,4,reflection
129,Tell me about a time you noticed a gap and stepped in.,initiative,"During a campus event build, I noticed the onboarding material for new contributors was missing. I first clarified the success criteria and the actual risk to the timeline. I started small, collected feedback, and improved the idea before asking the full team to change habits. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The initiative improved delivery speed and made my work more trusted because it helped the whole team.",strong,7,7,10,
130,Describe a time you improved something proactively.,initiative,"to be honest, At an internship, I saw a recurring communication gap between the feature owner and implementers. I tried to help and talk to people, but I was not very structured about it. I kept the solution practical because I wanted it to be used, not just admired The fix was simple but high leverage, which taught me that initiative works best when it is practical.",weak,4,4,2,"metrics, ownership, specific context"
131,Describe a time you improved something proactively.,initiative,"At an internship, I saw a recurring communication gap between the feature owner and implementers. I kept the solution practical because I wanted it to be used, not just admired. I also kept the team updated so we could move forward without too much confusion. The fix was simple but high leverage, which taught me that initiative works best when it is practical.",average,7,4,4,strong impact
132,Describe a time you improved something proactively.,initiative,"At an internship, I saw a recurring communication gap between the feature owner and implementers. I first clarified the success criteria and the actual risk to the timeline. I kept the solution practical because I wanted it to be used, not just admired. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The fix was simple but high leverage, which taught me that initiative works best when it is practical.",strong,8,10,9,deeper reflection
133,Tell me about a time you created value without formal ownership.,initiative,"basically, In a class project, repeated setup issues were wasting time for new teammates. I tried to help and talk to people, but I was not very structured about it. I focused on removing friction that affected multiple people instead of just optimizing my own workflow It improved the workflow enough that later teammates continued using it.",weak,4,3,1,"measurable impact, specific actions"
134,Tell me about a time you created value without formal ownership.,initiative,"In a class project, repeated setup issues were wasting time for new teammates. I focused on removing friction that affected multiple people instead of just optimizing my own workflow. I also kept the team updated so we could move forward without too much confusion. It improved the workflow enough that later teammates continued using it.",average,6,5,5,metrics
